size:16,ios:492;
size:19,ios:433;
size:17,ios:610;
size:16,ios:553;
size:31,ios:784;
size:23,ios:367;
size:16,ios:362;
size:21,ios:471;
size:19,ios:249;
size:17,ios:429;
size:26,ios:584;
size:15,ios:485;
size:19,ios:478;
size:18,ios:572;
size:23,ios:442;
size:20,ios:744;
size:19,ios:498;
size:20,ios:498;
size:27,ios:549;
size:24,ios:448;
size:22,ios:569;
size:18,ios:398;
size:12,ios:256;
size:16,ios:473;
size:16,ios:461;
size:18,ios:513;
size:15,ios:526;
size:14,ios:648;
size:24,ios:625;
size:12,ios:398;
size:12,ios:727;
size:18,ios:610;
size:28,ios:551;
size:22,ios:646;
size:22,ios:208;
size:22,ios:610;
size:27,ios:594;
size:14,ios:560;
size:21,ios:383;
size:25,ios:474;
size:21,ios:566;
size:23,ios:575;
size:17,ios:473;
size:17,ios:616;
size:15,ios:550;
size:24,ios:483;
size:29,ios:456;
size:21,ios:436;
size:17,ios:538;
size:25,ios:543;
size:27,ios:500;
size:18,ios:514;
size:18,ios:321;
size:17,ios:591;
size:14,ios:528;
size:20,ios:574;
size:17,ios:717;
size:24,ios:492;
size:19,ios:491;
size:30,ios:456;
size:16,ios:613;
size:12,ios:332;
size:25,ios:577;
size:21,ios:486;
size:28,ios:347;
size:20,ios:416;
size:15,ios:297;
size:10,ios:426;
size:20,ios:581;
size:30,ios:699;
size:10,ios:556;
size:22,ios:533;
size:22,ios:588;
size:13,ios:339;
size:22,ios:548;
size:21,ios:548;
size:17,ios:464;
size:21,ios:390;
size:28,ios:520;
size:16,ios:563;
size:14,ios:739;
size:25,ios:506;
size:19,ios:572;
size:24,ios:482;
size:14,ios:424;
size:18,ios:634;
size:16,ios:502;
size:20,ios:483;
size:12,ios:567;
size:30,ios:554;
size:26,ios:592;
size:21,ios:458;
size:23,ios:517;
size:18,ios:645;
size:21,ios:707;
size:17,ios:430;
size:22,ios:550;
size:18,ios:515;
size:16,ios:582;
size:19,ios:519;
