p:(0.489522,0.276094),h:2,n:84,cr:0.832211;
p:(0.489979,0.722062),h:2,n:83,cr:0.577284;
p:(0.489522,0.276094),h:1,n:96,cr:0.0533211;
p:(0.564236,0.274505),h:1,n:120,cr:0.0591855;
p:(0.528817,0.349989),h:1,n:110,cr:0.0566214;
p:(0.407122,0.250302),h:1,n:104,cr:0.0626107;
p:(0.418142,0.337968),h:1,n:119,cr:0.052128;
p:(0.550763,0.177679),h:1,n:115,cr:0.0554102;
p:(0.444954,0.389354),h:1,n:101,cr:0.0562463;
p:(0.448941,0.155616),h:1,n:123,cr:0.0662049;
p:(0.480547,0.42013),h:1,n:117,cr:0.232646;
p:(0.633379,0.337236),h:1,n:91,cr:0.066283;
p:(0.354871,0.188347),h:1,n:107,cr:0.0657803;
p:(0.657488,0.272497),h:1,n:91,cr:0.0446909;
p:(0.63536,0.192093),h:1,n:87,cr:0.050788;
p:(0.543111,0.113398),h:1,n:85,cr:0.0618219;
p:(0.342234,0.366951),h:1,n:125,cr:0.0678976;
p:(0.532997,0.448791),h:1,n:88,cr:0.0488505;
p:(0.311029,0.300035),h:1,n:114,cr:0.0602905;
p:(0.422541,0.106038),h:1,n:74,cr:0.0465181;
p:(0.629129,0.395541),h:1,n:113,cr:0.0613067;
p:(0.293104,0.256248),h:1,n:128,cr:0.0759449;
p:(0.43968,0.474192),h:1,n:91,cr:0.0517231;
p:(0.607315,0.44526),h:1,n:91,cr:0.0504949;
p:(0.635618,0.119954),h:1,n:102,cr:0.0437777;
p:(0.374764,0.461543),h:1,n:82,cr:0.0556647;
p:(0.318849,0.120767),h:1,n:72,cr:0.0420054;
p:(0.514737,0.0389835),h:1,n:126,cr:0.0690353;
p:(0.267535,0.183588),h:1,n:123,cr:0.0560991;
p:(0.356663,0.0748412),h:1,n:121,cr:0.0822241;
p:(0.255658,0.351286),h:1,n:101,cr:0.0495656;
p:(0.602864,0.0553455),h:1,n:123,cr:0.0618931;
p:(0.448581,0.0295683),h:1,n:80,cr:0.0477212;
p:(0.728383,0.20165),h:1,n:123,cr:0.0621935;
p:(0.283479,0.420488),h:1,n:84,cr:0.0411884;
p:(0.724111,0.383863),h:1,n:100,cr:0.0507365;
p:(0.613183,0.508981),h:1,n:75,cr:0.0506535;
p:(0.760423,0.265611),h:1,n:119,cr:0.0603723;
p:(0.715943,0.126603),h:1,n:101,cr:0.063232;
p:(0.701071,0.44939),h:1,n:67,cr:0.0504171;
p:(0.337677,0.0330269),h:1,n:75,cr:0.0392965;
p:(0.69654,0.480645),h:1,n:122,cr:0.190761;
p:(0.229991,0.134111),h:1,n:96,cr:0.0546966;
p:(0.684893,0.0513816),h:1,n:102,cr:0.0630965;
p:(0.782092,0.342217),h:1,n:84,cr:0.0545989;
p:(0.282017,0.492686),h:1,n:89,cr:0.049881;
p:(0.189388,0.324453),h:1,n:92,cr:0.0524195;
p:(0.283321,0.0509667),h:1,n:85,cr:0.0511791;
p:(0.23111,0.473529),h:1,n:102,cr:0.0589055;
p:(0.158975,0.254512),h:1,n:124,cr:0.0767023;
p:(0.179852,0.398805),h:1,n:74,cr:0.0516267;
p:(0.763033,0.47027),h:1,n:108,cr:0.061906;
p:(0.253031,0.0344416),h:1,n:120,cr:0.494093;
p:(0.836413,0.291901),h:1,n:98,cr:0.0518343;
p:(0.817037,0.393114),h:1,n:88,cr:0.051614;
p:(0.813078,0.14279),h:1,n:103,cr:0.0514173;
p:(0.183765,0.458039),h:1,n:79,cr:0.0495345;
p:(0.145436,0.170726),h:1,n:74,cr:0.0499709;
p:(0.169146,0.107717),h:1,n:79,cr:0.0497704;
p:(0.776254,0.048004),h:1,n:108,cr:0.0563898;
p:(0.861917,0.203548),h:1,n:71,cr:0.0591818;
p:(0.109384,0.227684),h:1,n:119,cr:0.0534923;
p:(0.123798,0.430355),h:1,n:103,cr:0.0635313;
p:(0.845325,0.460535),h:1,n:115,cr:0.0690339;
p:(0.890968,0.257209),h:1,n:97,cr:0.0494804;
p:(0.16065,0.0402529),h:1,n:106,cr:0.0541372;
p:(0.828489,0.0540657),h:1,n:111,cr:0.063973;
p:(0.889892,0.340352),h:1,n:99,cr:0.0555414;
p:(0.0880377,0.359984),h:1,n:120,cr:0.0580365;
p:(0.889214,0.168254),h:1,n:94,cr:0.0515205;
p:(0.0912503,0.139639),h:1,n:84,cr:0.0468786;
p:(0.898568,0.413646),h:1,n:93,cr:0.0553246;
p:(0.899197,0.101207),h:1,n:81,cr:0.0506181;
p:(0.0440874,0.269657),h:1,n:115,cr:0.0596665;
p:(0.0911423,0.0553967),h:1,n:69,cr:0.0571605;
p:(0.0303472,0.198576),h:1,n:86,cr:0.0531942;
p:(0.0377478,0.409502),h:1,n:90,cr:0.0583021;
p:(0.96172,0.230662),h:1,n:74,cr:0.0464576;
p:(0.922191,0.0814942),h:1,n:126,cr:0.105759;
p:(0.963432,0.303205),h:1,n:83,cr:0.0477419;
p:(0.962113,0.181723),h:1,n:74,cr:0.0432416;
